S.No,Symbol,LTP,Point Change,% Change,Open,High,Low,Volume,Prev. Close
                                        1,ACLBSL,                                        616.50,                                        -0.70,                                        -0.11,                                        618.00,                                        622.00,                                        616.50,"                                        3,114.00",                                        617.20
                                        2,ADBL,                                        229.00,                                        -1.30,                                        -0.56,                                        230.00,                                        232.00,                                        228.90,"                                        15,542.00",                                        230.30
                                        3,ADBLD83,"                                        1,020.00",                                        0.00,                                        0.00,"                                        1,020.00","                                        1,020.00","                                        1,020.00",                                        30.00,"                                        1,020.00"
                                        4,AHL,                                        436.60,                                        -18.40,                                        -4.04,                                        460.00,                                        460.00,                                        435.00,"                                        13,028.00",                                        455.00
                                        5,AHPC,                                        190.00,                                        -1.80,                                        -0.94,                                        194.90,                                        194.90,                                        189.20,"                                        46,620.00",                                        191.80
                                        6,AKJCL,                                        224.70,                                        -6.30,                                        -2.73,                                        232.00,                                        235.00,                                        223.00,"                                        101,468.00",                                        231.00
                                        7,AKPL,                                        179.80,                                        -4.70,                                        -2.55,                                        185.00,                                        186.00,                                        178.00,"                                        127,725.00",                                        184.50
                                        8,ALBSL,                                        662.00,                                        -2.80,                                        -0.42,                                        652.00,                                        664.00,                                        650.00,"                                        2,966.00",                                        664.80
                                        9,ALICL,                                        594.90,                                        -9.80,                                        -1.62,                                        597.00,                                        604.00,                                        590.00,"                                        12,293.00",                                        604.70
                                        10,ANLB,"                                        2,003.00",                                        50.00,                                        2.56,"                                        1,953.00","                                        2,020.00","                                        1,838.30","                                        4,015.00","                                        1,953.00"
                                        11,API,                                        182.70,                                        -3.60,                                        -1.93,                                        190.00,                                        190.00,                                        182.20,"                                        136,028.00",                                        186.30
                                        12,AVYAN,                                        598.00,                                        -10.90,                                        -1.79,                                        599.10,                                        604.00,                                        595.00,"                                        8,228.00",                                        608.90
                                        13,BARUN,                                        253.10,                                        -7.80,                                        -2.99,                                        266.00,                                        266.00,                                        253.00,"                                        28,592.00",                                        260.90
                                        14,BBC,"                                        3,650.00",                                        90.00,                                        2.53,"                                        3,625.00","                                        3,750.00","                                        3,610.00","                                        1,006.00","                                        3,560.00"
                                        15,BEDC,                                        360.20,                                        -14.80,                                        -3.95,                                        370.00,                                        382.50,                                        356.20,"                                        29,633.00",                                        375.00
                                        16,BFC,                                        333.00,                                        -4.00,                                        -1.19,                                        330.30,                                        344.40,                                        320.00,"                                        66,482.00",                                        337.00
                                        17,BGWT,                                        595.00,                                        -5.00,                                        -0.83,                                        595.00,                                        600.00,                                        581.20,"                                        10,140.00",                                        600.00
                                        18,BHDC,                                        489.00,                                        10.10,                                        2.11,                                        478.00,                                        490.00,                                        460.00,"                                        13,680.00",                                        478.90
                                        19,BHL,                                        369.00,                                        -14.90,                                        -3.88,                                        385.00,                                        389.80,                                        355.00,"                                        31,487.00",                                        383.90
                                        20,BHPL,                                        476.00,                                        -34.00,                                        -6.67,                                        506.00,                                        506.00,                                        476.00,"                                        12,685.00",                                        510.00
                                        21,BNHC,                                        449.90,                                        -14.10,                                        -3.04,                                        457.00,                                        466.10,                                        443.80,"                                        8,850.00",                                        464.00
                                        22,BNL,"                                        13,415.20","                                        1,021.40",                                        8.24,"                                        12,641.60","                                        13,415.20","                                        12,641.60",                                        40.00,"                                        12,393.80"
                                        23,BNT,"                                        13,950.00",                                        756.00,                                        5.73,"                                        13,400.00","                                        14,025.00","                                        13,200.00","                                        2,359.00","                                        13,194.00"
                                        24,BPCL,                                        304.00,                                        -4.80,                                        -1.55,                                        306.10,                                        310.00,                                        303.10,"                                        19,794.00",                                        308.80
                                        25,BPW,"                                        1,221.00",                                        -59.00,                                        -4.61,"                                        1,255.00","                                        1,260.00","                                        1,205.00","                                        2,562.00","                                        1,280.00"
                                        26,C30MF,                                        8.70,                                        0.00,                                        0.00,                                        8.53,                                        8.70,                                        8.53,"                                        1,000.00",                                        8.70
                                        27,CBBL,                                        840.00,                                        4.00,                                        0.48,                                        832.00,                                        847.00,                                        830.00,"                                        12,242.00",                                        836.00
                                        28,CBLD88,"                                        1,000.10",                                        -0.70,                                        -0.07,                                        999.00,"                                        1,000.10",                                        999.00,                                        75.00,"                                        1,000.80"
                                        29,CFCL,                                        333.00,                                        -4.00,                                        -1.19,                                        335.20,                                        348.80,                                        331.00,"                                        27,801.00",                                        337.00
                                        30,CGH,                                        830.00,                                        -17.00,                                        -2.01,                                        863.90,                                        863.90,                                        829.00,"                                        14,308.00",                                        847.00
                                        31,CHCL,                                        470.00,                                        1.00,                                        0.21,                                        468.00,                                        472.00,                                        466.00,"                                        31,876.00",                                        469.00
                                        32,CHDC,                                        975.50,                                        -32.50,                                        -3.22,                                        988.00,"                                        1,015.00",                                        973.90,"                                        7,753.00","                                        1,008.00"
                                        33,CHL,                                        303.80,                                        -11.20,                                        -3.56,                                        313.00,                                        318.00,                                        303.80,"                                        11,050.00",                                        315.00
                                        34,CIT,"                                        2,070.00",                                        -24.00,                                        -1.15,"                                        2,094.00","                                        2,100.00","                                        2,070.00","                                        27,687.00","                                        2,094.00"
                                        35,CITY,                                        594.60,                                        -8.40,                                        -1.39,                                        592.20,                                        605.00,                                        580.40,"                                        15,286.00",                                        603.00
                                        36,CKHL,                                        573.00,                                        22.00,                                        3.99,                                        540.00,                                        574.00,                                        540.00,"                                        66,059.00",                                        551.00
                                        37,CLI,                                        428.20,                                        -6.00,                                        -1.38,                                        434.00,                                        440.00,                                        428.00,"                                        32,837.00",                                        434.20
                                        38,CMF1,                                        8.46,                                        -0.10,                                        -1.17,                                        8.47,                                        8.47,                                        8.46,"                                        5,000.00",                                        8.56
                                        39,CMF2,                                        7.81,                                        0.01,                                        0.13,                                        7.80,                                        7.81,                                        7.51,"                                        2,513.00",                                        7.80
                                        40,CORBL,                                        420.00,                                        3.90,                                        0.94,                                        408.00,                                        448.80,                                        408.00,"                                        22,503.00",                                        416.10
                                        41,CYCL,"                                        1,142.40",                                        43.40,                                        3.95,"                                        1,085.00","                                        1,208.00","                                        1,085.00","                                        5,322.00","                                        1,099.00"
                                        42,CZBIL,                                        163.30,                                        -1.70,                                        -1.03,                                        164.00,                                        165.00,                                        162.50,"                                        30,325.00",                                        165.00
                                        43,DDBL,                                        748.00,                                        -10.90,                                        -1.44,                                        765.00,                                        765.00,                                        745.00,"                                        5,118.00",                                        758.90
                                        44,DHPL,                                        201.00,                                        -8.90,                                        -4.24,                                        214.00,                                        214.00,                                        190.30,"                                        29,771.00",                                        209.90
                                        45,DLBS,                                        766.00,                                        -6.00,                                        -0.78,                                        773.00,                                        790.50,                                        760.00,                                        768.00,                                        772.00
                                        46,DOLTI,                                        388.50,                                        -18.40,                                        -4.52,                                        398.80,                                        421.00,                                        380.00,"                                        35,341.00",                                        406.90
                                        47,DORDI,                                        491.00,                                        -13.00,                                        -2.58,                                        494.00,                                        515.00,                                        467.00,"                                        82,283.00",                                        504.00
                                        48,EBL,                                        512.30,                                        -3.70,                                        -0.72,                                        515.00,                                        519.30,                                        511.20,"                                        14,574.00",                                        516.00
                                        49,EBLD85,"                                        1,008.30",                                        0.00,                                        0.00,"                                        1,008.30","                                        1,008.30","                                        1,008.30",                                        8.00,"                                        1,008.30"
                                        50,EDBL,                                        345.00,                                        -1.00,                                        -0.29,                                        340.00,                                        357.70,                                        340.00,"                                        3,375.00",                                        346.00
                                        51,EHPL,                                        441.50,                                        -7.30,                                        -1.63,                                        440.00,                                        449.90,                                        426.50,"                                        10,055.00",                                        448.80
                                        52,ENL,                                        740.00,                                        -20.00,                                        -2.63,                                        746.30,                                        774.00,                                        740.00,"                                        3,966.00",                                        760.00
                                        53,FMDBL,                                        585.00,                                        -22.90,                                        -3.77,                                        605.00,                                        608.00,                                        582.00,"                                        16,351.00",                                        607.90
                                        54,FOWAD,"                                        1,054.90",                                        0.90,                                        0.09,"                                        1,045.00","                                        1,060.00","                                        1,033.00","                                        3,907.00","                                        1,054.00"
                                        55,GBBD85,                                        900.00,                                        -10.00,                                        -1.10,                                        896.10,                                        900.00,                                        896.10,                                        50.00,                                        910.00
                                        56,GBBL,                                        364.10,                                        -4.60,                                        -1.25,                                        367.00,                                        370.00,                                        363.00,"                                        27,787.00",                                        368.70
                                        57,GBD80/81,"                                        1,010.10",                                        0.10,                                        0.01,"                                        1,010.20","                                        1,010.20","                                        1,010.10",                                        200.00,"                                        1,010.00"
                                        58,GBILD86/87,                                        880.00,                                        -5.00,                                        -0.56,                                        880.00,                                        880.00,                                        880.00,                                        50.00,                                        885.00
                                        59,GBIME,                                        186.50,                                        -2.50,                                        -1.32,                                        189.00,                                        190.00,                                        186.50,"                                        57,767.00",                                        189.00
                                        60,GBIMEP,                                        100.00,                                        0.00,                                        0.00,                                        100.00,                                        100.00,                                        100.00,"                                        66,829.00",                                        100.00
                                        61,GBLBS,                                        561.80,                                        28.80,                                        5.40,                                        523.00,                                        561.80,                                        523.00,"                                        4,314.00",                                        533.00
                                        62,GCIL,                                        460.00,                                        -13.80,                                        -2.91,                                        465.80,                                        472.20,                                        460.00,"                                        31,156.00",                                        473.80
                                        63,GFCL,                                        437.30,                                        2.10,                                        0.48,                                        435.80,                                        452.00,                                        433.60,"                                        22,240.00",                                        435.20
                                        64,GHL,                                        164.70,                                        -6.80,                                        -3.97,                                        174.90,                                        174.90,                                        163.70,"                                        43,850.00",                                        171.50
                                        65,GILB,                                        812.00,                                        0.80,                                        0.10,                                        802.00,                                        817.00,                                        802.00,"                                        1,962.00",                                        811.20
                                        66,GLBSL,                                        896.00,                                        6.00,                                        0.67,                                        907.80,                                        925.90,                                        892.00,                                        249.00,                                        890.00
                                        67,GLH,                                        219.80,                                        -4.20,                                        -1.88,                                        226.50,                                        226.90,                                        218.00,"                                        24,585.00",                                        224.00
