S.No,Symbol,LTP,Point Change,% Change,Open,High,Low,Volume,Prev. Close
                                        1,ACLBSL,                                        600.00,                                        -7.00,                                        -1.15,                                        607.00,                                        607.00,                                        600.00,                                        79.00,                                        607.00
                                        2,ADBL,                                        227.10,                                        0.00,                                        0.00,                                        228.00,                                        230.00,                                        227.00,"                                        2,111.00",                                        227.10
                                        3,AHL,                                        430.30,                                        1.30,                                        0.30,                                        420.60,                                        439.00,                                        415.00,"                                        2,597.00",                                        429.00
                                        4,AHPC,                                        185.00,                                        1.00,                                        0.54,                                        186.00,                                        186.00,                                        183.00,"                                        5,727.00",                                        184.00
                                        5,AKJCL,                                        221.00,                                        0.90,                                        0.41,                                        218.00,                                        226.30,                                        218.00,"                                        12,787.00",                                        220.10
                                        6,AKPL,                                        177.00,                                        2.00,                                        1.14,                                        175.00,                                        178.50,                                        173.70,"                                        10,881.00",                                        175.00
                                        7,ALBSL,                                        642.00,                                        -8.00,                                        -1.23,                                        650.00,                                        650.20,                                        637.20,                                        136.00,                                        650.00
                                        8,ALICL,                                        577.40,                                        -0.60,                                        -0.10,                                        588.00,                                        589.00,                                        577.40,"                                        1,553.00",                                        578.00
                                        9,ANLB,"                                        1,930.00",                                        -10.00,                                        -0.52,"                                        1,930.00","                                        1,930.00","                                        1,930.00",                                        10.00,"                                        1,940.00"
                                        10,API,                                        180.40,                                        1.90,                                        1.06,                                        181.00,                                        183.00,                                        177.00,"                                        30,890.00",                                        178.50
                                        11,AVYAN,                                        590.00,                                        -0.50,                                        -0.08,                                        586.00,                                        602.00,                                        586.00,                                        100.00,                                        590.50
                                        12,BARUN,                                        255.00,                                        -2.00,                                        -0.78,                                        261.00,                                        261.00,                                        255.00,                                        249.00,                                        257.00
                                        13,BBC,"                                        3,562.00",                                        -59.00,                                        -1.63,"                                        3,562.10","                                        3,562.10","                                        3,562.00",                                        20.00,"                                        3,621.00"
                                        14,BEDC,                                        350.00,                                        2.00,                                        0.57,                                        341.20,                                        360.00,                                        341.20,"                                        2,835.00",                                        348.00
                                        15,BFC,                                        330.10,                                        -1.70,                                        -0.51,                                        327.00,                                        334.00,                                        327.00,"                                        6,325.00",                                        331.80
                                        16,BGWT,                                        580.00,                                        -12.00,                                        -2.03,                                        581.20,                                        584.00,                                        569.00,                                        780.00,                                        592.00
                                        17,BHDC,                                        467.00,                                        -6.00,                                        -1.27,                                        463.70,                                        481.90,                                        463.70,                                        380.00,                                        473.00
                                        18,BHL,                                        335.00,                                        0.00,                                        0.00,                                        332.00,                                        345.30,                                        332.00,"                                        3,220.00",                                        335.00
                                        19,BHPL,                                        489.00,                                        4.10,                                        0.85,                                        484.00,                                        490.00,                                        481.00,"                                        1,230.00",                                        484.90
